TF	Gene
PAX3	VPS13B
NKX2-5	VPS13B
MEF2A	ZNF383
ETS2	ZNF383
ZNF238	ZNF383
PDX1	ZNF383
E4F1	INHBC
USF1	SPG21
ARNT	SPG21
XBP1	SPG21
NKX3-1	UBE2B
GATA1	UBE2B
GATA6	UBE2B
FOXL1	UBE2B
FOXO4	UBE2B
GATA5	UBE2B
USF1	UBE2B
FOXO3B	UBE2B
SREBF1	UBE2B
MYC	UBE2B
MEF2A	UBE2B
AIRE	UBE2B
MAX	UBE2B
PBX1	UBE2B
GATA2	UBE2B
SRY	UBE2B
GATA3	UBE2B
FOXO3	UBE2B
GATA4	UBE2B
TBP	UBE2B
POU2F1	UBE2B
PAX6	JKAMP
SMAD3	AHDC1
SMAD2	AHDC1
DBP	AHDC1
CEBPA	AHDC1
SMAD6	AHDC1
WT1	AHDC1
SMAD5	AHDC1
BRCA1	AHDC1
EGR2	AHDC1
EGR1	AHDC1
SP1	AHDC1
TBX5	AHDC1
SP2	AHDC1
HOXC6	AHDC1
HNF4A	AHDC1
SMAD4	AHDC1
SMAD7	AHDC1
SP4	AHDC1
NFKB1	AHDC1
GFI1	AHDC1
SMAD1	AHDC1
SP3	AHDC1
PBX3	AHDC1
EGR3	AHDC1
PAX2	AHDC1
PKNOX1	AHDC1
PBX1	AHDC1
HOXB1	AHDC1
MAZ	AHDC1
NR3C1	AHDC1
ZIC2	AHDC1
AR	AHDC1
GFI1B	AHDC1
MZF1	AHDC1
ZBTB7A	AHDC1
PDX1	AHDC1
GATA3	AHDC1
TEAD1	AHDC1
ZEB1	AHDC1
GTF2I	AHDC1
